dataset,query_id,time_seconds
salary_tracker_1MB.csv,1,0.0501227
salary_tracker_1MB.csv,2,0.0423868
salary_tracker_1MB.csv,3,0.0597637
salary_tracker_1MB.csv,4,0.0874083
salary_tracker_1MB.csv,5,0.0471754
salary_tracker_10MB.csv,1,0.152739
salary_tracker_10MB.csv,2,0.0692918
salary_tracker_10MB.csv,3,0.0806289
salary_tracker_10MB.csv,4,0.113018
salary_tracker_10MB.csv,5,0.115401
salary_tracker_100MB.csv,1,1.34099
salary_tracker_100MB.csv,2,0.480823
salary_tracker_100MB.csv,3,0.430681
salary_tracker_100MB.csv,4,0.765409
salary_tracker_100MB.csv,5,0.803124
